,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
1567,1567,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,110000,542000,0.19,1,1,0.46,1,1,183.6
1572,1572,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,110000,510000,0.19,1,1,0.46,1,1,183.6
1577,1577,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,548000,0.19,1,1,0.46,1,1,183.6
1583,1583,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,110000,429000,0.19,1,1,0.46,1,1,183.6
1593,1593,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1082000,0.19,1,1,0.46,1,1,183.6
1604,1604,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,413000,1823000,0.19,1,1,0.46,1,1,183.6
1613,1613,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,259000,1312000,0.19,1,1,0.46,1,1,183.6
1624,1624,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,258000,1334000,0.19,1,1,0.46,1,1,183.6
1635,1635,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1304000,0.19,1,1,0.46,1,1,183.6
1646,1646,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,254000,1142000,0.19,1,1,0.46,1,1,183.6
1657,1657,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1220000,0.19,1,1,0.46,1,1,183.6
1667,1667,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,258000,1246000,0.19,1,1,0.46,1,1,183.6
1679,1679,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1228000,0.19,1,1,0.46,1,1,183.6
1690,1690,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1158000,0.19,1,1,0.46,1,1,183.6
1698,1698,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,258000,1238000,0.19,1,1,0.46,1,1,183.6
1707,1707,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,259000,1137000,0.19,1,1,0.46,1,1,183.6
1716,1716,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,259000,1200000,0.19,1,1,0.46,1,1,183.6
1726,1726,Punjab,LUDHIANA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,257000,1276000,0.19,1,1,0.46,1,1,183.6
