,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
1538,1538,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,110000,414000,0.19,1,1,0.46,1,1,419.7
1544,1544,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,110000,428000,0.19,1,1,0.46,1,1,419.7
1549,1549,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,114000,428000,0.19,1,1,0.46,1,1,419.7
1554,1554,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,115000,452000,0.19,1,1,0.46,1,1,419.7
1559,1559,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,118000,460000,0.19,1,1,0.46,1,1,419.7
1565,1565,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,118000,433000,0.19,1,1,0.46,1,1,419.7
1570,1570,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,117000,445000,0.19,1,1,0.46,1,1,419.7
1575,1575,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,117000,451000,0.19,1,1,0.46,1,1,419.7
1580,1580,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,117000,439000,0.19,1,1,0.46,1,1,419.7
1588,1588,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,234000,899000,0.19,1,1,0.46,1,1,419.7
1600,1600,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,241000,789000,0.19,1,1,0.46,1,1,419.7
1610,1610,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,237000,856000,0.19,1,1,0.46,1,1,419.7
1619,1619,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,238000,939000,0.19,1,1,0.46,1,1,419.7
1630,1630,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,235000,916000,0.19,1,1,0.46,1,1,419.7
1642,1642,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,236000,1020000,0.19,1,1,0.46,1,1,419.7
1652,1652,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,241000,1047000,0.19,1,1,0.46,1,1,419.7
1663,1663,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,400000,1144000,0.19,1,1,0.46,1,1,419.7
1675,1675,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,250000,1130000,0.19,1,1,0.46,1,1,419.7
1686,1686,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,248000,1084000,0.19,1,1,0.46,1,1,419.7
1695,1695,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,250000,1133000,0.19,1,1,0.46,1,1,419.7
1703,1703,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,254000,1135000,0.19,1,1,0.46,1,1,419.7
1712,1712,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1206000,0.19,1,1,0.46,1,1,419.7
1722,1722,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1133000,0.19,1,1,0.46,1,1,419.7
1731,1731,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1094000,0.19,1,1,0.46,1,1,419.7
1742,1742,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1169000,0.19,1,1,0.46,1,1,419.7
1755,1755,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1137000,0.19,1,1,0.46,1,1,419.7
1764,1764,Punjab,LUDHIANA,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,1119000,0.19,1,1,0.46,1,1,419.7
1772,1772,Punjab,MANSA,Kharif     ,high,6,60,4,Temperate,Rice,58000,220000,0.19,1,1,0.46,1,1,419.7
1783,1783,Punjab,MANSA,Kharif     ,high,6,60,4,Temperate,Rice,84000,215000,0.19,1,1,0.46,1,1,419.7
