,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
2657,2657,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,28000,70000,0.19,1,1,0.46,1,1,480
2666,2666,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,29000,66000,0.19,1,1,0.46,1,1,480
2677,2677,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,24000,42000,0.19,1,1,0.46,1,1,480
2688,2688,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,23000,65000,0.19,1,1,0.46,1,1,480
2701,2701,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,25000,60000,0.19,1,1,0.46,1,1,480
2711,2711,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,27000,75000,0.19,1,1,0.46,1,1,480
2722,2722,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,24000,61000,0.19,1,1,0.46,1,1,480
2731,2731,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,22000,72000,0.19,1,1,0.46,1,1,480
2740,2740,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,23000,77000,0.19,1,1,0.46,1,1,480
2749,2749,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,21000,64000,0.19,1,1,0.46,1,1,480
2758,2758,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,23000,76000,0.19,1,1,0.46,1,1,480
2766,2766,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,21000,80000,0.19,1,1,0.46,1,1,480
2772,2772,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,23000,74000,0.19,1,1,0.46,1,1,480
2781,2781,Punjab,RUPNAGAR,Kharif     ,medium,6.25,80,25,Composite,Maize,23000,74000,0.19,1,1,0.46,1,1,480
